unit,sample,data_year,threshold,control,chicago_spike,control_spike,gap
establishment,rows,2023,50,cook_ex_chicago,11.353535353535351,18.02469135802469,-6.6711560044893385
establishment,rows,2024,50,cook_ex_chicago,11.852631578947369,17.829268292682926,-5.976636713735557
establishment,rows,2025,50,cook_ex_chicago,11.72340425531915,18.384615384615383,-6.661211129296234
establishment,rows,2018,60,cook_ex_chicago,39.285714285714285,72.0,-32.714285714285715
establishment,rows,2019,60,cook_ex_chicago,35.0,88.85714285714286,-53.85714285714286
establishment,rows,2020,60,cook_ex_chicago,38.13333333333333,85.71428571428571,-47.580952380952375
establishment,rows,2021,60,cook_ex_chicago,43.69230769230769,81.71428571428571,-38.021978021978015
establishment,rows,2022,60,cook_ex_chicago,49.166666666666664,92.66666666666669,-43.50000000000002
establishment,rows,2023,60,cook_ex_chicago,47.333333333333336,89.66666666666667,-42.333333333333336
establishment,rows,2024,60,cook_ex_chicago,46.833333333333336,89.33333333333333,-42.49999999999999
establishment,rows,2025,60,cook_ex_chicago,46.333333333333336,89.66666666666667,-43.333333333333336
establishment,rows,2018,40,illinois_ex_cook,23.5,22.51094890510949,0.9890510948905096
establishment,rows,2019,40,illinois_ex_cook,27.4375,23.630769230769232,3.806730769230768
establishment,rows,2020,40,illinois_ex_cook,28.533333333333335,24.396825396825395,4.13650793650794
establishment,rows,2021,40,illinois_ex_cook,25.939393939393938,24.943089430894307,0.9963045084996303
establishment,rows,2022,40,illinois_ex_cook,25.575757575757574,25.633333333333333,-0.0575757575757585
establishment,rows,2023,40,illinois_ex_cook,24.666666666666668,25.64102564102564,-0.9743589743589709
establishment,rows,2024,40,illinois_ex_cook,25.612903225806452,26.31578947368421,-0.7028862478777569
establishment,rows,2025,40,illinois_ex_cook,24.838709677419356,25.912280701754387,-1.0735710243350312
establishment,rows,2018,50,illinois_ex_cook,11.638095238095238,18.96296296296296,-7.324867724867721
establishment,rows,2019,50,illinois_ex_cook,11.39047619047619,19.468599033816425,-8.078122843340234
establishment,rows,2020,50,illinois_ex_cook,11.192307692307692,19.63366336633663,-8.441355674028939
establishment,rows,2021,50,illinois_ex_cook,11.775510204081632,18.88995215311005,-7.114441949028416
establishment,rows,2022,50,illinois_ex_cook,11.656565656565656,18.861244019138756,-7.2046783625731
establishment,rows,2023,50,illinois_ex_cook,11.353535353535351,18.47619047619047,-7.12265512265512
establishment,rows,2024,50,illinois_ex_cook,11.852631578947369,18.516746411483258,-6.664114832535889
establishment,rows,2025,50,illinois_ex_cook,11.72340425531915,17.94312796208531,-6.21972370676616
establishment,rows,2018,60,illinois_ex_cook,39.285714285714285,36.509803921568626,2.775910364145659
establishment,rows,2019,60,illinois_ex_cook,35.0,37.795918367346935,-2.7959183673469354
establishment,rows,2020,60,illinois_ex_cook,38.13333333333333,36.92,1.2133333333333312
establishment,rows,2021,60,illinois_ex_cook,43.69230769230769,40.30434782608695,3.38795986622074
establishment,rows,2022,60,illinois_ex_cook,49.166666666666664,39.91489361702128,9.251773049645386
establishment,rows,2023,60,illinois_ex_cook,47.333333333333336,40.77272727272727,6.560606060606062
establishment,rows,2024,60,illinois_ex_cook,46.833333333333336,41.48837209302326,5.344961240310077
establishment,rows,2025,60,illinois_ex_cook,46.333333333333336,43.02439024390244,3.3089430894308975
firm,all,2018,40,cook_ex_chicago,24.0,23.9,0.10000000000000142
firm,all,2019,40,cook_ex_chicago,22.514285714285716,21.857142857142858,0.6571428571428584
firm,all,2020,40,cook_ex_chicago,24.5625,23.05,1.5124999999999993
firm,all,2021,40,cook_ex_chicago,19.55,23.894736842105264,-4.344736842105263
firm,all,2022,40,cook_ex_chicago,16.844444444444445,23.17948717948718,-6.335042735042734
